Month,Product Id,Product Name,Shop Name,L1 category,L2 category,L3 category,Item Sold,Revenue,Avg. Unit Price,MoM Growth %
2/16/2026,1729383941730701675,CeraVe Moisturizing Cream 16oz,Ulta Beauty,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"28,856","$588,034.39 ",$20.38 ,7.7%
2/16/2026,1729383941730701676,The Ordinary Niacinamide 10% + Zinc 1%,Sephora,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"26,615","$152,392.43 ",$5.73 ,23.5%
2/16/2026,1729383941730701677,Neutrogena Hydro Boost Gel-Cream,Target,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"16,614","$343,808.81 ",$20.69 ,40.9%
2/16/2026,1729383941730701678,La Roche-Posay Toleriane Double Repair Moisturizer,CVS Pharmacy,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"9,463","$185,491.10 ",$19.6 ,4.8%
2/16/2026,1729383941730701679,Paula's Choice 2% BHA Liquid Exfoliant,Dermstore,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"2,865","$110,825.29 ",$38.68 ,44.5%
2/16/2026,1729383941730701680,Olaplex No.3 Hair Perfector,Sephora,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"14,045","$436,668.07 ",$31.09 ,-14.7%
2/16/2026,1729383941730701681,Moroccanoil Treatment Original 3.4oz,Ulta Beauty,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"18,744","$681,028.72 ",$36.33 ,26.0%
2/16/2026,1729383941730701682,CHI Silk Infusion Reconstructing Complex,Amazon,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"17,660","$252,884.87 ",$14.32 ,8.7%
2/16/2026,1729383941730701683,TRESemme Keratin Smooth Shine Serum,Walmart,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"6,310","$43,968.36 ",$6.97 ,17.6%
2/16/2026,1729383941730701684,Redken All Soft Conditioner 10.1oz,Ulta Beauty,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"11,518","$273,432.20 ",$23.74 ,-5.3%
2/16/2026,1729383941730701685,Dior Sauvage Eau de Toilette 3.4oz,Sephora,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"42,506","$4,774,801.85 ",$112.33 ,-13.2%
2/16/2026,1729383941730701686,Versace Bright Crystal EDT 3oz,Ulta Beauty,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"16,154","$1,144,504.61 ",$70.85 ,27.8%
2/16/2026,1729383941730701687,YSL Black Opium Eau de Parfum 1.6oz,Nordstrom,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"17,543","$1,590,017.06 ",$90.64 ,-10.9%
2/16/2026,1729383941730701688,Marc Jacobs Daisy EDT 3.4oz,Macy's,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"9,283","$765,119.72 ",$82.42 ,7.8%
2/16/2026,1729383941730701689,Sol de Janeiro Brazilian Bum Bum Cream 8.1oz,Sephora,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"8,635","$465,604.51 ",$53.92 ,0.9%
2/16/2026,1729383941730701690,Blue Buffalo Life Protection Adult Chicken & Rice 30lb,PetSmart,Pet Supplies,Pet Food,Dry Dog Food,"19,802","$969,151.62 ",$48.94 ,12.9%
2/16/2026,1729383941730701691,Purina Pro Plan Adult Sensitive Skin Salmon 30lb,Chewy,Pet Supplies,Pet Food,Dry Dog Food,"9,759","$521,762.32 ",$53.46 ,9.2%
2/16/2026,1729383941730701692,Royal Canin Medium Adult Dry Dog Food 30lb,PetSmart,Pet Supplies,Pet Food,Dry Dog Food,"11,277","$824,921.17 ",$73.15 ,-1.2%
2/16/2026,1729383941730701693,Hill's Science Diet Adult Chicken & Barley 35lb,Amazon,Pet Supplies,Pet Food,Dry Dog Food,"2,673","$152,515.17 ",$57.06 ,-7.9%
2/16/2026,1729383941730701694,Taste of the Wild High Prairie Grain-Free 28lb,Chewy,Pet Supplies,Pet Food,Dry Dog Food,"6,554","$341,460.86 ",$52.1 ,29.4%
2/16/2026,1729383941730701695,Maybelline Fit Me Matte + Poreless Foundation,Target,Beauty & Personal Care,Makeup,Face Makeup,"31,184","$298,477.25 ",$9.57 ,44.5%
2/16/2026,1729383941730701696,NYX Professional Makeup Lip Liner Pencil,Ulta Beauty,Beauty & Personal Care,Makeup,Face Makeup,"9,679","$52,016.75 ",$5.37 ,13.9%
2/16/2026,1729383941730701697,Rare Beauty Soft Pinch Liquid Blush,Sephora,Beauty & Personal Care,Makeup,Face Makeup,"7,107","$151,595.00 ",$21.33 ,-3.6%
2/16/2026,1729383941730701698,Dr. Bronner's Pure-Castile Liquid Soap Peppermint 32oz,Whole Foods,Beauty & Personal Care,Bath & Body Care,Body Wash & Cleansers,"20,523","$347,752.16 ",$16.94 ,13.5%
2/16/2026,1729383941730701699,Dove Deep Moisture Nourishing Body Wash 22oz,Walmart,Beauty & Personal Care,Bath & Body Care,Body Wash & Cleansers,"22,633","$153,724.84 ",$6.79 ,-6.4%
2/16/2026,1729383941730701700,Native Deodorant Coconut & Vanilla,Target,Beauty & Personal Care,Bath & Body Care,Body Wash & Cleansers,"18,122","$286,699.86 ",$15.82 ,10.1%
