Term,Definition,Domain,Owner,Related Tables,Related Columns,Synonyms,Examples,Data Type,Business Rules
Beauty Products Data Lake,Centralized repository for beauty and personal care product sales data,Data Architecture,Data Steward,All,All,Product Data Lake,N/A,N/A,DAMA-DMBOK aligned architecture
Month,The calendar month in which sales transactions occurred,Time,Business Analyst,curated_beauty_products,month,Transaction Month|Sales Month,2024-04-01,DATE,Must be valid date; used for partitioning
Product ID,Unique identifier assigned to each product in the catalog,Product,Product Manager,curated_beauty_products,product_id,Product Code|SKU,1729380000000000000,BIGINT,Must be unique; positive integer
Product Name,Human-readable name or description of the product,Product,Product Manager,curated_beauty_products,product_name,Product Title|Product Description,Unbrush Detangling Hair Brush by FHI Heat,STRING,Required field; max 500 characters
Shop Name,Name of the retailer or seller offering the product,Shop,Sales Manager,curated_beauty_products,shop_name,Seller Name|Store Name,BeautyChoiceUSA,STRING,Max 200 characters
L1 Category,Top-level product category in the taxonomy hierarchy,Product Taxonomy,Category Manager,curated_beauty_products,l1_category,Primary Category|Main Category,Beauty & Personal Care,STRING,Standardized values; defaults to 'Uncategorized' if missing
L2 Category,Second-level product category (sub-category),Product Taxonomy,Category Manager,curated_beauty_products,l2_category,Sub-Category|Category Level 2,Haircare & Styling,STRING,Standardized values; defaults to 'Uncategorized' if missing
L3 Category,Third-level product category (most detailed),Product Taxonomy,Category Manager,curated_beauty_products,l3_category,Detailed Category|Category Level 3,Hair Brushes & Combs,STRING,Standardized values; defaults to 'Uncategorized' if missing
Item Sold,Number of product units sold in a given month,Sales Metrics,Sales Analyst,curated_beauty_products,item_sold,Units Sold|Quantity Sold|Sales Volume,24157,INT,Must be >= 0; > 1M flagged as anomaly
Revenue,Total sales revenue generated from product in USD,Financial Metrics,Finance Analyst,curated_beauty_products,revenue_usd,Total Revenue|Sales Revenue|Gross Revenue,$305785.10,DECIMAL(18,2),Must be >= 0; > $10M flagged as anomaly
Average Unit Price,Average price per unit sold in USD,Financial Metrics,Pricing Analyst,curated_beauty_products,avg_unit_price_usd,Unit Price|Price Per Item|Avg Price,$12.66,DECIMAL(10,2),Must be >= 0; calculated from revenue/items
MoM Growth %,Month-over-month revenue growth rate,Performance Metrics,Sales Analyst,curated_beauty_products,mom_growth_pct,Month-over-Month Growth|Revenue Growth,-0.4200 (-42%),DECIMAL(5,4),Reasonable range: -1.0 to 10.0; null allowed for first month
Data Quality Score,Composite score (0-1) indicating data quality,Data Quality,Data Steward,curated_beauty_products,data_quality_score,Quality Score|DQ Score,0.9500,DECIMAL(5,4),Range: 0.0000 to 1.0000; >= 0.95 is high quality
Quality Flags,Comma-separated list of data quality issues,Data Quality,Data Steward,curated_beauty_products,quality_flags,Quality Issues|DQ Flags,INVALID_DATE,SYNTHETIC_PRODUCT_ID,STRING,Empty if no issues; see data quality rules
